Rank	Medical College	Last Rank Allotted	State	Allotted Quota
1	AIIMS – New Delhi	47	Delhi	Open Seat Quota
2	Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC	141	Delhi	All India
3	Maulana Azad Medical College New Delhi	145	Delhi	All India
4	Atal Bihari Vajpayee Institute of Medical Sciences & DR RML Hospital New Delhi	203	Delhi	All India
5	JIPMER Puducherry	350	Puducherry	Open Seat Quota
6	AIIMS, Jodhpur	374	Rajasthan	Open Seat Quota
7	University College of Medical Sciences, New Delhi	390	Delhi	All India
8	AIIMS-Bhopal	510	Madhya Pradesh	Open Seat Quota
9	AIIMS, Bhubaneswar	594	Odisha	Open Seat Quota
10	B.J. Medical College, Ahmedabad	676	Gujarat	All India
11	AIIMS, Rishikesh	731	Uttarakhand	Open Seat Quota
12	Government Medical College and Hospital, Chandigarh	778	Punjab	All India
13	Lady Hardinge Medical College, New Delhi	826	Delhi	All India
14	Govt. Medical College, Kozhikode	912	Kerala	All India
15	Madras Medical College, Chennai	944	Tamil Nadu	All India
16	AIIMS, Nagpur	946	Maharashtra	Open Seat Quota
17	SETH G.S. Medical College, Mumbai	1010	Maharashtra	All India
18	Institute of Medical Sciences, BHU, Varanasi	1014	Uttar Pradesh	Open Seat Quota
19	S.M.S. Medical College, Jaipur	1031	Rajasthan	All India
20	AIIMS, Raipur	1174	Chhattisgarh	Open Seat Quota
21	Dr. B.S.A. Medical College, Delhi	1192	Delhi	All India
22	AIIMS, Patna	1297	Bihar	Open Seat Quota
23	Bangalore Medical College and Research Institute	1345	Karnataka	All India
24	KGMC, Lucknow	1352	Uttar Pradesh	All India
25	NDMC Medical College, Delhi	1419	Delhi	All India
26	AIIMS Bathinda	1576	Punjab	Open Seat Quota
27	Govt. Medical College, Thiruvananthapuram	1606	Kerala	All India
28	AIIMS Mangalagiri	1836	Andhra Pradesh	Open Seat Quota
29	AIIMS Rajkot	1854	Gujarat	Open Seat Quota
30	AIIMS, Gorakhpur	2063	Uttar Pradesh	Open Seat Quota
31	AIIMS, Kalyani	2089	West Bengal	Open Seat Quota
32	Stanley Medical College, Chennai	2121	Tamil Nadu	All India
33	Medical College, Baroda	2251	Gujarat	All India
34	Govt. Medical College, Kottayam	2258	Kerala	All India
35	Grant Medical College & Sir J.J. Hospital, Mumbai	2338	Maharashtra	All India
36	B.J. Government Medical College, Pune	2379	Maharashtra	All India
37	AIIMS, Bibi Nagar, Hyderabad	2388	Telangana	Open Seat Quota
38	AIIMS, Bilaspur	2401	Himachal Pradesh	Open Seat Quota
39	RUHS College of Medical Sciences, Jaipur	2469	Rajasthan	All India
40	Medical College, Kolkata	2504	West Bengal	All India
41	AIIMS, Rai Bareli	2559	Uttar Pradesh	Open Seat Quota
42	Sardar Patel Medical College, Bikaner	2585	Rajasthan	All India
43	Gandhi Medical College, Musheerabad	2588	Telangana	All India
44	Govt. Medical College, Thrissur	2624	Kerala	All India
45	Indira Gandhi Medical College, Shimla	2625	Himachal Pradesh	All India
46	Dr. Ram Manohar Lohia Institute of Medical Sciences, Lucknow	2683	Uttar Pradesh	All India
47	Institute of PG Medical Education & Research, Kolkata	2699	West Bengal	All India
48	Govt. Medical College, Srinagar	2777	Jammu and Kashmir	All India
49	Govt. Kilpauk Medical College, Chennai	2810	Tamil Nadu	All India
50	Lokmanya Tilak Municipal Medical College, Mumbai	2857	Maharashtra	All India
51	JIPMER Karaikal	2862	Puducherry	Open Seat Quota
52	Topiwala National Medical College, Mumbai	3022	Maharashtra	All India
53	Government Medical College, Surat	3080	Gujarat	All India
54	AIIMS, Deoghar	3106	Jharkhand	Open Seat Quota
55	Jawaharlal Nehru Medical College, AMU, Aligarh	3131	Uttar Pradesh	Open Seat Quota
56	S.C.B. Medical College, Cuttack	3208	Odisha	All India
57	Patna Medical College, Patna	3273	Bihar	All India
58	Govt. Medical College, Patiala	3318	Punjab	All India
59	Dr. S.N. Medical College, Jodhpur	3362	Rajasthan	All India
60	Vardhman Institute of Medical Sciences, Nalanda	3420	Bihar	All India
61	T.D. Medical College, Alappuzha	3454	Kerala	All India
62	AIIMS Guwahati	3476	Assam	Open Seat Quota
63	Shri Atal Bihari Vajpayee Medical College & Research Institute, Bengaluru	3492	Karnataka	All India
64	Osmania Medical College, Hyderabad	3517	Telangana	All India
65	Hinduhridayasamrat Balasaheb Thackeray Medical College, Mumbai	3532	Maharashtra	All India
66	Coimbatore Medical College, Coimbatore	3536	Tamil Nadu	All India
67	Dr. B.R. Ambedkar State Institute of Medical Sciences, Mohali	3596	Punjab	All India
68	Mysore Medical College and Research Institute, Mysore	3627	Karnataka	All India
69	M.G.M. Medical College, Indore	3732	Madhya Pradesh	All India
70	AIIMS Jammu	3787	Jammu and Kashmir	Open Seat Quota
71	Pt. B.D. Sharma PGIMS, Rohtak	3843	Haryana	All India
72	Andhra Medical College, Visakhapatnam	3846	Andhra Pradesh	All India
73	R.N.T. Medical College, Udaipur	3871	Rajasthan	All India
74	G.S.V.M. Medical College, Kanpur	3874	Uttar Pradesh	All India
75	Pt. D.D.U. Medical College, Rajkot	3922	Gujarat	All India
76	Government Institute of Medical Sciences, Greater Noida	3956	Uttar Pradesh	All India
77	Indira Gandhi Institute of Medical Sciences, Patna	4070	Bihar	All India
78	Jawaharlal Nehru Medical College, Ajmer	4138	Rajasthan	All India
79	Govt. Medical College, Nagpur	4233	Maharashtra	All India
80	Govt. Medical College, Ernakulam	4267	Kerala	All India
81	Government Medical College, Mumbai	4293	Maharashtra	All India
82	S.N. Medical College, Agra	4354	Uttar Pradesh	All India
83	L.L.R.M. Medical College, Meerut	4369	Uttar Pradesh	All India
84	Dr. Rajendra Prasad Medical College, Tanda	4420	Himachal Pradesh	All India
85	Government Medical College, Manjeri	4435	Kerala	All India
86	AIIMS Madurai	4454	Tamil Nadu	Open Seat Quota
87	Madurai Medical College, Madurai	4456	Tamil Nadu	All India
88	Rajendra Institute of Medical Sciences, Ranchi	4511	Jharkhand	All India
89	Government Medical College, Omandurar	4588	Tamil Nadu	All India
90	Chengalpattu Medical College	4599	Tamil Nadu	All India
91	Moti Lal Nehru Medical College, Allahabad	4648	Uttar Pradesh	All India
92	Gandhi Medical College, Bhopal	4668	Madhya Pradesh	All India
93	Govt. Medical College, Kannur	4758	Kerala	All India
94	Govt. Medical College, Kota	4766	Rajasthan	All India
95	Government Doon Medical College, Dehradun	4950	Uttarakhand	All India
96	Government Vellore Medical College, Vellore	5096	Tamil Nadu	All India
97	Govt. Medical College, Amritsar	5118	Punjab	All India
98	Nilratan Sirkar Medical College, Kolkata	5180	West Bengal	All India
99	Karnataka Institute of Medical Sciences, Hubli	5184	Karnataka	All India
100	M.P. Shah Medical College, Jamnagar	5211	Gujarat	All India
101	Rajiv Gandhi Medical College, Thane	5333	Maharashtra	All India
102	MKCG Medical College, Berhampur	5403	Odisha	All India
103	Maharani Laxmi Bai Medical College, Jhansi	5589	Uttar Pradesh	All India
104	Thanjavur Medical College	5601	Tamil Nadu	All India
105	Gajra Raja Medical College, Gwalior	5674	Madhya Pradesh	All India
106	B.R.D. Medical College, Gorakhpur	5835	Uttar Pradesh	All India
107	Guwahati Medical College, Guwahati	5851	Assam	All India
108	Calcutta National Medical College, Kolkata	5852	West Bengal	All India
109	Belgaum Institute of Medical Sciences, Belgaum	5855	Karnataka	All India
110	Jhalawar Medical College, Jhalawar	5886	Rajasthan	All India
111	Govt. Medical College, Palakkad	5942	Kerala	All India
112	Govt. Mohan Kumaramangalam Medical College, Salem	5968	Tamil Nadu	All India
113	Nalanda Medical College, Patna	6015	Bihar	All India
114	Guru Govind Singh Medical College, Faridkot	6049	Punjab	All India
115	Indira Gandhi Government Medical College, Nagpur	6065	Maharashtra	All India
116	Shri Kalyan Govt. Medical College, Sikar	6167	Rajasthan	All India
117	Guntur Medical College, Guntur	6208	Andhra Pradesh	All India
118	Govt. Medical College, Idukki	6210	Kerala	All India
119	Medical College, Bhavnagar	6246	Gujarat	All India
120	Government Medical College, Konni	6483	Kerala	All India
121	Kalpana Chawla Govt. Medical College, Karnal	6570	Haryana	All India
122	Netaji Subhash Chandra Bose Medical College, Jabalpur	6583	Madhya Pradesh	All India
123	Govt. Medical College, Tirunelveli	6607	Tamil Nadu	All India
124	Uttarakhand Forest Hospital Trust Medical College, Haldwani	6620	Uttarakhand	All India
125	Uttar Pradesh University of Medical Sciences, Saifai	6698	Uttar Pradesh	All India
126	Goa Medical College, Panaji	6717	Goa	All India
127	Dr. YS Parmar Govt. Medical College, Nahan	6832	Himachal Pradesh	All India
128	M.G.M. Medical College, Jamshedpur	6891	Jharkhand	All India
129	Atal Bihari Vajpayee Government Medical College, Vidisha	6894	Madhya Pradesh	All India
130	Government Medical College, Jammu	6923	Jammu and Kashmir	All India
131	Govt. Medical College, Aurangabad	6960	Maharashtra	All India
132	Pt. Jawahar Lal Nehru Govt. Medical College, Chamba	7107	Himachal Pradesh	All India
133	Maulana Mahmood Hasan Medical College, Saharanpur	7160	Uttar Pradesh	All India
134	K.A.P. Viswanatham Govt. Medical College, Tiruchirapalli	7233	Tamil Nadu	All India
135	Sagar Dutta Medical College & Hospital, Kolkata	7347	West Bengal	All India
136	Pt. J.N.M. Medical College, Raipur	7414	Chhattisgarh	All India
137	R.G. Kar Medical College, Kolkata	7437	West Bengal	All India
138	V.S.S. Medical College, Burla	7458	Odisha	All India
139	Darbhanga Medical College, Laheriasarai	7470	Bihar	All India
140	SKIMS Medical College, Srinagar	7498	Jammu and Kashmir	All India
141	Government Medical College, Pali	7639	Rajasthan	All India
142	Government Medical College, Bhilwara	7741	Rajasthan	All India
143	Dr. Radhakrishnan Government Medical College, Hamirpur	7806	Himachal Pradesh	All India
144	Rangaraya Medical College, Kakinada	7874	Andhra Pradesh	All India
145	Govt. Medical College, Baramati	7915	Maharashtra	All India
146	S.S. Medical College, Rewa	7920	Madhya Pradesh	All India
147	Government Medical College, Alwar	7963	Rajasthan	All India
148	Mandya Institute of Medical Sciences, Mandya	8042	Karnataka	All India
149	Sri Jagannath Medical College & Hospital, Puri	8094	Odisha	All India
150	Govt. Medical College, Kannauj	8103	Uttar Pradesh	All India
151	SJP Medical College, Bharatpur	8185	Rajasthan	All India
152	THENI GOVT. MEDICAL COLLEGE, THENI	8200	Tamil Nadu	All India
153	NAMO Medical Education & Research Institute, Govt Medical College Silvassa	8221	Gujarat	All India
154	Govt Medical College, Churu	8266	Rajasthan	All India
155	KANYAKUMARI GOVT. MED. COLL., ASARIPALLAM	8267	Tamil Nadu	All India
156	BPS Govt. Med. College, Sonepat	8396	Haryana	All India
157	SHRI ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, CHHAINSA	8460	Haryana	All India
158	Government Medical College, Anantnag	8523	Jammu and Kashmir	All India
159	Jawaharlal Nehru Medical College, Bhagalpur	8553	Bihar	All India
160	THOOTHUKUDI MEDICAL COLLEGE	8588	Tamil Nadu	All India
161	Govt Medical College Barmer Rajasthan	8786	Rajasthan	All India
162	IRT Perundurai Medical College, Perundurai	8915	Tamil Nadu	All India
163	HASSAN INST. MEDICAL SCIENCES, HASSAN	8916	Karnataka	All India
164	Indira Gandhi Medical College & RI, Puducherry	8929	Puducherry	All India
165	BUNDELKHAND MEDICAL COLLEGE, SAGAR	8986	Madhya Pradesh	All India
166	CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, BILASPUR	9020	Chhattisgarh	All India
167	Shaheed Nirmal Mahto Medical College & Hospital, Dhanbad	9040	Jharkhand	All India
168	GOVT. DHARAMAPURI MED COLL, DHARMAPURI	9050	Tamil Nadu	All India
169	GMC DAUSA RAJASTHAN	9096	Rajasthan	All India
170	Government Medical College Chittorgarh	9160	Rajasthan	All India
171	SHIMOGA INST. OF MEDICAL SCI., SHIMOGA	9163	Karnataka	All India
172	GVMC, VILLUPURAM	9228	Tamil Nadu	All India
173	MG Inst. of Medical Sciences, Sevagram Wardha	9238	Maharashtra	All India
174	MRA MEDICAL COLLEGE AMBEDKAR NAGAR	9285	Uttar Pradesh	All India
175	Government Medical College, Tiruppur	9387	Tamil Nadu	All India
176	Government Medical College, Jhunjhunu	9440	Rajasthan	All India
177	BURDWAN MEDICAL COLLEGE	9457	West Bengal	All India
178	DR. VAISHAMPAYAM MEMORIAL M.C., SHOLAPUR	9477	Maharashtra	All India
179	GMC, Azamgarh	9521	Uttar Pradesh	All India
180	GOVERNMENT MEDICAL COLLEGE, SRIGANGANAGAR	9575	Rajasthan	All India
181	COLLEGE OF MEDICINE and JNM HOSPITAL, KALYANI	9588	West Bengal	All India
182	SRI KRISHNA MEDICAL COLLEGE, MUZAFFARPUR	9639	Bihar	All India
183	SHKM GMC, Nalhar, Mewat	9670	Haryana	All India
184	Govt. Medical College, Sirohi	9761	Rajasthan	All India
185	Kakatiya Medical College Warangal	9792	Telangana	All India
186	Government Medical College, Thiruvallur	9875	Tamil Nadu	All India
187	GOVERNMENT MEDICAL COLLEGE, MIRAJ	9944	Maharashtra	All India
188	KURNOOL MEDICAL COLLEGE, KURNOOL	9951	Andhra Pradesh	All India
189	Thiruvannamalai MC, Thiruvannamalai	9953	Tamil Nadu	All India
190	Veer Chandra Singh Garhwali Govt. Institute of Medical Science & Research	10007	Uttarakhand	All India
191	Govt Medical College Badaun	10009	Uttar Pradesh	All India
192	NEIGRIHMS, SHILLONG	10011	Meghalaya	All India
193	Govt Medical College, Dungarpur	10018	Rajasthan	All India
194	Govt Medical College Faizabad	10030	Uttar Pradesh	All India
195	Govt Medical College Ratlam	10113	Madhya Pradesh	All India
196	GMC KARAULI	10145	Rajasthan	All India
197	Govt Medical college Shivpuri	10169	Madhya Pradesh	All India
198	Govt Medical College Firozabad	10201	Uttar Pradesh	All India
199	ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA	10286	Bihar	All India
200	GMC, Shahjhanpur	10289	Uttar Pradesh	All India
201	Rani Durgavati Medical College, Banda	10445	Uttar Pradesh	All India
202	Government Medical College, Dholpur	10450	Rajasthan	All India
203	NORTH BENGAL MED.COLL, DARJEELING	10476	West Bengal	All India
204	Rajarshee Chhatrapati Shahu Maharaj Government Medical College Kolhapur	10491	Maharashtra	All India
205	Govt. Medical College Karur	10497	Tamil Nadu	All India
206	GOVERNMENT MEDICAL COLLEGE, BUNDI	10526	Rajasthan	All India
207	BANKURA SAMMILANI MED COLL, BANKURA	10552	West Bengal	All India
208	Sri Venkateswara Medical College, Tirupati	10579	Andhra Pradesh	All India
209	VIJAYNAGAR INST OF MED. SC, BELLARY	10621	Karnataka	All India
210	SOBAN SINGH JEENA GOVT. INSTITUTE OF MEDICAL SCIENCE & RESEARCH, ALMORA	10713	Uttarakhand	All India
211	Rajkiya Medical College, Jalaun	10723	Uttar Pradesh	All India
212	Siddartha Medical College, Vijayawada	10733	Andhra Pradesh	All India
213	Government Medical College, Hanumangarh	10772	Rajasthan	All India
214	Gulbarga Institute of Medical Sciences, Gulbarga	10807	Karnataka	All India
215	Government Medical College, Baramulla	10815	Jammu and Kashmir	All India
216	Rajah Muthiah Medical College, Annamalai University	10846	Tamil Nadu	All India
217	GOVERNMENT MEDICAL COLLEGE, LATUR	10878	Maharashtra	All India
218	GTMC, THIRUVARUR	11098	Tamil Nadu	All India
219	Govt. Pudukkottai Medical College Hospital, Pudukkottai	11172	Tamil Nadu	All India
220	Government Medical College, Seoni	11202	Madhya Pradesh	All India
221	DR. S.C. GOVT MEDICAL COLLEGE, NANDED	11255	Maharashtra	All India
222	SHEIKH BHIKHARI MEDICAL COLLEGE & HOSPITAL, HAZARIBAG	11293	Jharkhand	All India
223	Government Medical College, Datia	11440	Madhya Pradesh	All India
224	Govt. Sivgangai Medical College, Sivagangai	11487	Tamil Nadu	All India
225	Govt. Medical College, Khandwa	11588	Madhya Pradesh	All India
226	MAHARSHI DEVRAHA BABA AUTONOMOUS STATE MEDICAL COLLEGE, DEORIA	11706	Uttar Pradesh	All India
227	Govt Medical College Basti	11715	Uttar Pradesh	All India
228	Autonomous State Medical College, Fatehpur	11757	Uttar Pradesh	All India
229	Diamond Harbour Govt Medical College	11809	West Bengal	All India
230	SHRI BHAUSAHEB HIRE GOVT. M.C., DHULE	11896	Maharashtra	All India
231	ASSAM MEDICAL COLLEGE, DIBRUGARH	11898	Assam	All India
232	Kalyan Singh Government Medical College, Bulandshahr	11906	Uttar Pradesh	All India
233	Autonomous State Medical College, Etah	11914	Uttar Pradesh	All India
234	Government Medical College, Kathua	12036	Jammu and Kashmir	All India
235	GOVERNMENT MEDICAL COLLEGE, AKOLA	12051	Maharashtra	All India
236	Government Medical College, Virudhunagar	12054	Tamil Nadu	All India
237	SWAMI RAMANAND TIRTH RURAL M.C, AMBAJOGAI	12112	Maharashtra	All India
238	Government Medical College, Bettiah	12118	Bihar	All India
239	Government Medical College, Krishnagiri	12165	Tamil Nadu	All India
240	MIDNAPORE MEDICAL COLLEGE, MIDNAPUR	12197	West Bengal	All India
241	Government medical College, Namakkal	12208	Tamil Nadu	All India
242	Rajiv Gandhi Institute Medical Sciences of Adilabad	12222	Telangana	All India
243	Lt. L A M Govt. Medical College, Raigarh	12292	Chhattisgarh	All India
244	Government Medical College, Dindigul	12300	Tamil Nadu	All India
245	GMC, Bahraich	12318	Uttar Pradesh	All India
